Sno.,SKU,JOB NAME,Order Status,Material,Color,Application,Size W mm,Size H mm,Size W Inch,Size H Inch,Ups,Print Sheet Size,Purchase Sheet Size,Purchase Sheet ups,Remarks,Default Unit Cost,Machine,Purchase Material,Daily Demand,AWC No,Plate Set No,Die,
1.0,A3 PAPER RIM,A3 PAPER RIM,Repeat,offset 75,No,No,420,297,16,11,1,11.7*16.5,25*36,4,A3 size paper (500 pcs in 1 rim ) ( total 10 rim ),3.56,Cutting Machine,Imported,10,,,,
2,A4 PAPER RIM,A4 PAPER RIM,Repeat,offset 75,No,No,210,298,8,11,1,8.25*11.75,25*36,9,A4 size paper (500 pcs in 1 rim ) ( total 100 rim ),1.4,Cutting Machine,Imported,10,,,,
3,A4 RIM PAPER,A4 RIM PAPER,Repeat,offset 75,No,No,210,298,8,11,1,8.25*11.75,25*36,9,A4 size paper (500 pcs in 1 rim x 5 = 1 box ) Total 20 BOX,1.4,Cutting Machine,Imported,10,,,,
4,Artwork Inserts for PEM AMERICA Samples,Artwork Inserts for PEM AMERICA Samples,Repeat,Art Paper 128,,,200,150,7,5,1,12.5*18,25*36,4,Request for Assistance with Artwork Inserts for PEM AMERICA Samples ( Naeema Pareveen ),,KONICA MINOLTA,Imported,10,,,,
5,CANTEENTOKEN8.5X12INCH,CANTEEN TOKEN 8.5X12 INCH / NO SPECS,Repeat,Offset 68,1.0,No,216,305,8,12,1,9*12.5,25*36,8,( Canteen Token Books ) Total Books 100 ( Each Book 100 Pages ) serial start 001 ,2.7,GTO 1,Imported,10,,1499.0,,
6,COLORBOX-TUMBLER-230GSM-BLEACHCARD,COLORBOX-TUMBLER-230GSM-BLEACHCARD,Repeat,Bleach Card 230,4.0,LAMINATION,327,412,12,16,1,14*18,25*36,2,Stylom 16 OZ Organic Sipper With bent Straw ( Proffing And Shade Card ) Die Cutting,10.0,SM 74,Imported,20,1050.0,,,
7,CONTAINERLOADINGNUMBERINGCARD,CONTAINER LOADING NUMBERING CARD / BLEACH CARD,Repeat,Art Paper 128,1.0,No,140,215,5,8,1,6*8,6*8,1,"( 88  cards of each NUM), 1 to 24 Numbers ( Use wastage )",5.5,GTO 1,Imported,20,,,,
8,CUTTINGDIAGRAMBOOK300PAGESDUPLICATECARBONCOPY12X8-5INCH,CUTTINGDIAGRAMBOOK300PAGESDUPLICATECARBONCOPY12X8-5INCH,Repeat,NCR White,1.0,No,300,215,11,8,2,12*17,17*24,2,"Cutting diagram with range duplicate  ( 50 pages white  , 50 pags yellow ) total 50 books )",3.2,GTO 2,Imported,10,,,,
9,DIGITALPRINTA4ARTCARDSHEET,DIGITALPRINTA4ARTCARDSHEET,Repeat,Art Card 210,4.0,No,200,167,7,6,1,12.5*18,25*36,4,DIGITALPRINTA4ARTCARDSHEET,75.0,KONICA MINOLTA,Imported,10,,,,
10,DIGITALPRINTSTICKERA4,DIGITALPRINTSTICKERA4,Repeat,White Adhesive Sticker,1.0,No,254,254,10,10,1,10*10,10*10,1,DIGITALPRINTSTICKERA4,60.0,KONICA MINOLTA,Imported,10,,,,
11,FLUFFINGINSTRUCTION-2024,FLUFFINGINSTRUCTION-2024,Repeat,offset 75,2+2,No,205,295,8,11,4,18*25,25*36,2,Fluffing  F + B   2024,2.2,SM 74,Imported,13358,1420.0,9194.0,,
12,FLUFFINGINSTRUCTION-COMPLIANTCOMFORTERUKEU,FLUFFINGINSTRUCTION-COMPLIANTCOMFORTERUKEU,Repeat,offset 75,2.0,No,215,310,8,12,4,18*25,25*36,2,Fluffing Paper COMFORTER UK EU ( One side ),2.0,SM 74,Imported,8832,,9426.0,,
13,FLUFFINGINSTRUCTION-NEWDESIGN-TEABAGORGANIZER-A4SIZE-USA-REV-00,FLUFFINGINSTRUCTION-NEWDESIGN-TEABAGORGANIZER-A4SIZE-USA-REV-00 / FLUFFINGINSTRUCTION-NEWDESIGN-TEABAGORGANIZER-A4SIZE-USA-REV-00,Repeat,Offset 68,2.0,No,215,310,8,12,2,12.5*18,25*36,4,Lid Installation Guide TEA-BAG ORGANiZER,2.0,GTO 1,Imported,50,838.0,,,
14,FLUFFINGINSTRUCTION--RAISEDGARDENBED-4FT,FLUFFINGINSTRUCTION--RAISEDGARDENBED-4FT / offset paper 68gm (8.5x12 inch) black n white,New,,,,,,0,0,,,,,Order Cancel as per taha Instruction on email,,,,,,,,
15,FLUFFINGINSTRUCTION-RAISEDGARDENBED-4FT-REV00,FLUFFINGINSTRUCTION-RAISEDGARDENBED-4FT-REV00 / Offset paper 68GMs Black n white (8.5x12) inch,Repeat,Offset 68,1.0,No,219,309,8,12,2,12.5*18,25*36,4,"OVAL GALVANIZED STEEL RAISED GARDEN BED ( 4 PCS, 56PC, 1PC )",2.0,GTO 1,Imported,10,853.0,,,
16,FLUFFINGINSTRUCTION-RAISEDGARDENBED-6FT,FLUFFINGINSTRUCTION-RAISEDGARDENBED-6FT / Offset paper 68GMs Black n white (8.5x12) inch,New,,,,,,0,0,,,,,Order Cancel as per taha Instruction on email,,,,,,,,
17,FLUFFINGINSTRUCTION-RAISEDGARDENBED-6FT-REV00,FLUFFINGINSTRUCTION-RAISEDGARDENBED-6FT-REV00 / Offset paper 68GMs Black n white (8.5x12) inch,Repeat,Offset 68,1.0,No,219,309,8,12,2,12.5*18,25*36,4,"OVAL GALVANIZED STEEL RAISED GARDEN BED ( 8PC, 76PC, 1PC )",2.0,GTO 1,Imported,10,852.0,,,
18,FLUFFINGINSTRUCTION-TEABAGORGANIZER,"FLUFFINGINSTRUCTION-TEABAGORGANIZER / Offset 68, 210*280 mm",Repeat,Offset 68,1.0,No,210,280,8,11,2,12.5*18,25*36,4,TEA-BAG ORGANIZER INSTRUCTION,2.0,GTO 1,Imported,10,,,,
19,FLUFFINGINSTRUCTION-TEABAGORGANIZER-UK-EU-REV-00,FLUFFINGINSTRUCTION-TEABAGORGANIZER-UK-EU-REV-00,Repeat,Offset 68,1.0,No,215,305,8,12,2,12.5*18,25*36,4,Fluffing tea organizer New,2.0,GTO 1,Imported,10,,,,
20,GAZETTEDPOLYBAGFLAP9.50X15.00X2.00X4.00-RECYCLE-DISHTOWEL-12PC-,GAZETTEDPOLYBAGFLAP9.50X15.00X2.00X4.00-RECYCLE-DISHTOWEL-12PC-,New,,,,,,0,0,,,,,Poly Pag PO Cancel,,,,,,,,
