Sno.,SKU,JOB NAME,Order Status,Material,Color,Application,Size W mm,Size H mm,Size W Inch,Size H Inch,Ups,Print Sheet Size,Purchase Sheet Size,Purchase Sheet ups,Remarks,Default Unit Cost,Machine,Purchase Material,Daily Demand,AWC No,Plate Set No,Die,
21,Heimteltile,Heimteltile,Repeat,Offset 68,,,,,0,0,1,8.25*11.75,8.25*11.75,1,Sub - Color Print Out ( Request by ) - Muhammad Fahad,,KONICA MINOLTA,Imported,1,,,,
22,IDENTIFICATIONCARD150X200CM,"IDENTIFICATION CARD 150X150 MM / Bleach230, 150*150mm",Repeat,Bleach Card 230,1.0,No,120,130,4,5,4,12.5*12,25*36,6,ISSUANCE TAG CARD,5.0,GTO 1,imported,10,,,,
23,IMPORTERLABEL-IMP-ADD-UK-EU-2025-US,IMPORTERLABEL-IMP-ADD-UK-EU-2025-US / Importer Label Size height 7 CM Width 5.5 CM (taffeta Quality),Repeat,Taffeta,1+1,No,54,72,2,2,21,9*15,9*15,1,IMPORTER ADDRESS FOR CANADA / ADRESSE ( New Art Work ),0.5,GTO 1,imported,6268,940.0,,,
24,IMPORTERLABEL-KIDSHANGER-PACKOF20-6INCHX3INCH-REV-02-CA,IMPORTERLABEL--KIDSHANGER-PACKOF20-6INCHX3INCH-REV-02-CA / IMPORTERLABEL--KIDSHANGER-PACKOF20-6.0 INCH X 3.0 INCH-WHITE OFFSET PAPER WITH LAMINATION,Repeat,Offset 68 Left over Size,1.0,LAMINATION,74,153,2,6,12,12.5*18,25*36,4,IMPORTER ADDRESS FOR CANADA,2.0,GTO 1,Imported,10,945.0,,,
25,IMPORTERLABEL-KIDSHANGER-PACKOF40-9-5INCHX3INCH-REV-02-CA,IMPORTERLABEL-KIDSHANGER-PACKOF40-9-5INCHX3INCH-REV-02-CA,Repeat,Offset 68,1.0,LAMINATION,74,230,2,9,6,10*18,25*36,4,3*9.5 inch lamination,2.0,GTO 1,Imported,10,833.0,,,
26,IMPORTERLABEL-MANUFACTURERADDRESS-CAN-UK-EU,IMPORTERLABEL-MANUFACTURERADDRESS-CAN-UK-EU,Repeat,Taffeta,1+1,No,54,72,2,2,21,9*15,9*15,1,IMPORTER ADDRRSS LABAEL - ( Front / Back ),2.0,GTO 1,Imported,33249,96.0,,,
27,IMPORTERLABEL-MANUFACTURERADDRESS-CAN-UK-EU,IMPORTERLABEL-MANUFACTURERADDRESS-CAN-UK-EU,Repeat,Taffeta,1+1,No,54,72,2,2,21,9*15,9*15,1,IMPORTER ADDRRSS LABAEL - ( Front / Back ),2.0,GTO 1,Imported,33249,96.0,,,
28,IMPORTERLABEL-MANUFACTURERADDRESS-MARCH-2025-UK-EU-CA,IMPORTERLABEL-MANUFACTURERADDRESS-MARCH-2025-UK-EU-CA,Repeat,Taffeta,1+1,No,54,72,2,2,21,9*15,9*15,1,IMPORTER ADDRESS FOR CANADA / ADRESSE ( New Art Work ),0.42,GTO 1,Imported,10,,,,
29,IMPORTERLABEL-MANUFACTURERLABEL-CAN-EU-UK,IMPORTERLABEL-MANUFACTURERLABEL-CAN-EU-UK / IMPORTERLABEL-MANUFACTURERLABEL-CAN-EU-UK,Repeat,Taffeta,1+1,No,54,72,2,2,21,9*15,9*15,1,IMPORTER ADRESS,0.42,GTO 2,Imported,20,984.0,,,
30,IMPORTERLABEL-MANUFACTURERUK-EU,IMPORTERLABEL-MANUFACTURERUK-EU,Repeat,Taffeta,1+1,No,54,74,2,2,21,9*15,9*15,1,importer address new  front back,2.0,GTO 1,Imported,10,,,,
